.geo,class,Month,Year
"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.7533254921877,26.030886229809227]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.3933797064047,24.034470342382004]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.38350738684309,22.801802109513197]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.20554198049531,25.198597119072492]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.10609847854327,24.946080692706495]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.5620787424805,24.683503135158357]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.60986911559566,24.540311678869706]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.40075046601633,25.092865410131623]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.9119771199269,24.66436901960661]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.19881376442812,25.049836108022298]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.13573830863737,23.755723109719717]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.2152437855638,21.810511193487304]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.03379324673536,21.719871181319643]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.63601923892723,24.982372630184923]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.76195389319709,25.698329911628182]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.52462356941456,22.976434600746032]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.16207266930763,22.962959871484237]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.82618343601163,22.385522806852208]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.80354589085182,23.856514084597926]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.96200413268866,22.9776922421438]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.82870786737088,23.195533698542782]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.22270437670385,22.91894242256238]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.8341784420403,25.060436228374908]}",0,10,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.47385960729811,26.18377949116637]}",0,10,2025
