.geo,class,Month,Year
"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.7533254921877,26.030886229809227]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.3933797064047,24.034470342382004]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.38350738684309,22.801802109513197]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.20554198049531,25.198597119072492]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.10609847854327,24.946080692706495]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.5620787424805,24.683503135158357]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.60986911559566,24.540311678869706]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.9119771199269,24.66436901960661]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.19881376442812,25.049836108022298]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.13573830863737,23.755723109719717]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.2152437855638,21.810511193487304]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.03379324673536,21.719871181319643]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.63601923892723,24.982372630184923]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.76195389319709,25.698329911628182]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.52462356941456,22.976434600746032]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.16207266930763,22.962959871484237]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.82618343601163,22.385522806852208]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.80354589085182,23.856514084597926]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.96200413268866,22.9776922421438]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.82870786737088,23.195533698542782]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.22270437670385,22.91894242256238]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.8341784420403,25.060436228374908]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.47385960729811,26.18377949116637]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.11275058592761,23.49494218273982]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.53154517138414,24.144154638572996]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.3313913775186,25.368109213185846]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.5283020877976,22.44624892005869]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.04088536319806,23.800279547812043]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.58444679305508,25.430182799318505]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.098368392818,21.752030868491122]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.97090202828329,23.342767573609972]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.33984011547118,23.561417513764663]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.47548114909138,23.628072507846333]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.6823631590241,26.08810891340764]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.68747898186173,24.533035325068337]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.15731159830179,21.303951204772307]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.14642826051839,22.316172866918183]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.81379125937264,24.78653989824687]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.99802657558185,23.591061918140607]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.11525672015945,23.78033694850459]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17966592603082,22.012991458527843]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75143903009103,25.085589056330257]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.3805429464055,23.27997533525002]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.14653181489236,21.684387727596924]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.45742958616242,22.460262638490953]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.30625227240881,25.023515470197598]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.2986165924938,22.91930174867603]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.99362483068967,25.473391764484653]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.61148608310707,25.936024135806207]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.0283896321851,23.762640137407438]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.01735407703598,21.85542695769328]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.42455124676366,22.671995550957924]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.96577705688196,23.32210632207522]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.24955942941716,23.429814324641153]}",0,7,2025
"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.68964408710733,23.905562099110853]}",0,7,2025
